"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 27 08:08:42 UTC 2021","Wed Oct 27 08:09:04 UTC 2021","21474","Damm","AutomationTests","PromotionsModule.Given_NotRegisteredUser.When_NotStartedPromotion.Then_CookiesAcceptanceAppearsTest","PromotionsModule.Given_NotRegisteredUser.When_NotStartedPromotion.Then_CookiesAcceptanceAppearsTest","on_Smartphone","on_Smartphone","Como nuevo visitante cuando accedo a una promoción no iniciada entonces aparece la aceptación de cookies"
"passed","Wed Oct 27 08:07:29 UTC 2021","Wed Oct 27 08:08:03 UTC 2021","33804","Damm","AutomationTests","PromotionsModule.Given_NotRegisteredUser.When_NotStartedPromotion.Then_ParticipateSectionAppearsTest","PromotionsModule.Given_NotRegisteredUser.When_NotStartedPromotion.Then_ParticipateSectionAppearsTest","on_Smartphone","on_Smartphone","Como visitante no registrado cuando accedo a una promoción no iniciada entonces aparece la sección 'Cómo participar/Iniciar sesión'"
"passed","Wed Oct 27 08:07:55 UTC 2021","Wed Oct 27 08:08:25 UTC 2021","29280","Damm","AutomationTests","PromotionsModule.Given_NotRegisteredUser.When_NotStartedPromotion.Then_HeaderImageAppearsTest","PromotionsModule.Given_NotRegisteredUser.When_NotStartedPromotion.Then_HeaderImageAppearsTest","on_Desktop","on_Desktop","Como visitante no registrado cuando accedo a una promoción no iniciada entonces aparece la imagen de cabecera"
"passed","Wed Oct 27 08:07:25 UTC 2021","Wed Oct 27 08:07:55 UTC 2021","30491","Damm","AutomationTests","PromotionsModule.Given_NotRegisteredUser.When_NotStartedPromotion.Then_ParticipateSectionAppearsTest","PromotionsModule.Given_NotRegisteredUser.When_NotStartedPromotion.Then_ParticipateSectionAppearsTest","on_Desktop","on_Desktop","Como visitante no registrado cuando accedo a una promoción no iniciada entonces aparece la sección 'Cómo participar/Iniciar sesión'"
"passed","Wed Oct 27 08:08:44 UTC 2021","Wed Oct 27 08:09:18 UTC 2021","34407","Damm","AutomationTests","PromotionsModule.Given_NotRegisteredUser.When_NotStartedPromotion.Then_PromotionInstructionsTest","PromotionsModule.Given_NotRegisteredUser.When_NotStartedPromotion.Then_PromotionInstructionsTest","on_Desktop","on_Desktop","Como visitante no registrado cuando accedo a una promocion no iniciada entonces aparece las instrucciones de la promocion"
"passed","Wed Oct 27 08:09:51 UTC 2021","Wed Oct 27 08:09:51 UTC 2021","4","Damm","AutomationTests","Core.Application.WebElementApplicationServiceTests","Core.Application.WebElementApplicationServiceTests","findElementByXpath_Ok","findElementByXpath_Ok",""
"passed","Wed Oct 27 08:06:54 UTC 2021","Wed Oct 27 08:07:38 UTC 2021","43905","Damm","AutomationTests","PromotionsModule.Given_NotRegisteredUser.When_NotStartedPromotion.Then_DateEffectiveAppearsTest","PromotionsModule.Given_NotRegisteredUser.When_NotStartedPromotion.Then_DateEffectiveAppearsTest","on_Tablet","on_Tablet","Como visitante no registrado cuando accedo a una promoción no iniciada entonces aparece la vigencia de la promoción"
"passed","Wed Oct 27 08:06:54 UTC 2021","Wed Oct 27 08:07:25 UTC 2021","30832","Damm","AutomationTests","PromotionsModule.Given_NotRegisteredUser.When_NotStartedPromotion.Then_DateEffectiveAppearsTest","PromotionsModule.Given_NotRegisteredUser.When_NotStartedPromotion.Then_DateEffectiveAppearsTest","on_Smartphone","on_Smartphone","Como visitante no registrado cuando accedo a una promoción no iniciada entonces aparece la vigencia de la promoción"
"passed","Wed Oct 27 08:09:37 UTC 2021","Wed Oct 27 08:10:05 UTC 2021","27944","Damm","AutomationTests","PromotionsModule.Given_NotRegisteredUser.When_NotStartedPromotion.Then_PromotionTitleAppearsTest","PromotionsModule.Given_NotRegisteredUser.When_NotStartedPromotion.Then_PromotionTitleAppearsTest","on_Tablet","on_Tablet","Como nuevo visitante cuando accedo a una promoción no iniciada entonces aparece el titulo de la promocion."
"passed","Wed Oct 27 08:09:51 UTC 2021","Wed Oct 27 08:09:54 UTC 2021","3066","Damm","AutomationTests","Core.Application.ConfigurationApplicationServiceTests","Core.Application.ConfigurationApplicationServiceTests","getConfiguration_Ok","getConfiguration_Ok",""
"passed","Wed Oct 27 08:09:25 UTC 2021","Wed Oct 27 08:09:59 UTC 2021","33696","Damm","AutomationTests","PromotionsModule.Given_NotRegisteredUser.When_NotStartedPromotion.Then_PromotionTitleAppearsTest","PromotionsModule.Given_NotRegisteredUser.When_NotStartedPromotion.Then_PromotionTitleAppearsTest","on_Desktop","on_Desktop","Como nuevo visitante cuando accedo a una promoción no iniciada entonces aparece el titulo de la promocion."
"passed","Wed Oct 27 08:08:03 UTC 2021","Wed Oct 27 08:08:42 UTC 2021","38995","Damm","AutomationTests","PromotionsModule.Given_NotRegisteredUser.When_NotStartedPromotion.Then_BreadcrumbAppearsTest","PromotionsModule.Given_NotRegisteredUser.When_NotStartedPromotion.Then_BreadcrumbAppearsTest","on_Desktop","on_Desktop","Como nuevo visitante cuando accedo a una promoción no iniciada entonces aparece la miga de pan."
"passed","Wed Oct 27 08:08:13 UTC 2021","Wed Oct 27 08:08:42 UTC 2021","28715","Damm","AutomationTests","PromotionsModule.Given_NotRegisteredUser.When_NotStartedPromotion.Then_BreadcrumbAppearsTest","PromotionsModule.Given_NotRegisteredUser.When_NotStartedPromotion.Then_BreadcrumbAppearsTest","on_Smartphone","on_Smartphone","Como nuevo visitante cuando accedo a una promoción no iniciada entonces aparece la miga de pan."
"passed","Wed Oct 27 08:08:41 UTC 2021","Wed Oct 27 08:09:08 UTC 2021","27220","Damm","AutomationTests","PromotionsModule.Given_NotRegisteredUser.When_NotStartedPromotion.Then_CookiesAcceptanceAppearsTest","PromotionsModule.Given_NotRegisteredUser.When_NotStartedPromotion.Then_CookiesAcceptanceAppearsTest","on_Desktop","on_Desktop","Como nuevo visitante cuando accedo a una promoción no iniciada entonces aparece la aceptación de cookies"
"passed","Wed Oct 27 08:09:08 UTC 2021","Wed Oct 27 08:09:41 UTC 2021","32723","Damm","AutomationTests","PromotionsModule.Given_NotRegisteredUser.When_NotStartedPromotion.Then_AgeRestrictionAppearsTest","PromotionsModule.Given_NotRegisteredUser.When_NotStartedPromotion.Then_AgeRestrictionAppearsTest","on_Smartphone","on_Smartphone","Como nuevo visitante cuando accedo a una promoción no iniciada entonces aparece la restricción de edad"
"passed","Wed Oct 27 08:09:54 UTC 2021","Wed Oct 27 08:09:55 UTC 2021","1024","Damm","AutomationTests","Core.Application.EnvironmentApplicationServiceTests","Core.Application.EnvironmentApplicationServiceTests","getEnvironment_Ok","getEnvironment_Ok",""
"passed","Wed Oct 27 08:08:42 UTC 2021","Wed Oct 27 08:09:07 UTC 2021","24602","Damm","AutomationTests","PromotionsModule.Given_NotRegisteredUser.When_NotStartedPromotion.Then_CookiesAcceptanceAppearsTest","PromotionsModule.Given_NotRegisteredUser.When_NotStartedPromotion.Then_CookiesAcceptanceAppearsTest","on_Tablet","on_Tablet","Como nuevo visitante cuando accedo a una promoción no iniciada entonces aparece la aceptación de cookies"
"passed","Wed Oct 27 08:09:51 UTC 2021","Wed Oct 27 08:09:51 UTC 2021","51","Damm","AutomationTests","Core.Application.WebElementApplicationServiceTests","Core.Application.WebElementApplicationServiceTests","isDisplayed_Ok","isDisplayed_Ok",""
"passed","Wed Oct 27 08:07:24 UTC 2021","Wed Oct 27 08:08:03 UTC 2021","38582","Damm","AutomationTests","PromotionsModule.Given_NotRegisteredUser.When_NotStartedPromotion.Then_PromotionLegalBases","PromotionsModule.Given_NotRegisteredUser.When_NotStartedPromotion.Then_PromotionLegalBases","on_Tablet","on_Tablet","Como visitante no registrado cuando accedo a una promocion finalizada entonces aparece un el texto 'Promocion finalizada'"
"passed","Wed Oct 27 08:09:19 UTC 2021","Wed Oct 27 08:09:55 UTC 2021","36737","Damm","AutomationTests","PromotionsModule.Given_NotRegisteredUser.When_NotStartedPromotion.Then_AgeRestrictionAppearsTest","PromotionsModule.Given_NotRegisteredUser.When_NotStartedPromotion.Then_AgeRestrictionAppearsTest","on_Tablet","on_Tablet","Como nuevo visitante cuando accedo a una promoción no iniciada entonces aparece la restricción de edad"
"passed","Wed Oct 27 08:09:51 UTC 2021","Wed Oct 27 08:09:51 UTC 2021","2","Damm","AutomationTests","Core.Application.WebDriverConfigurationApplicationServiceTests","Core.Application.WebDriverConfigurationApplicationServiceTests","getTabletWebDriverConfiguration_Ok","getTabletWebDriverConfiguration_Ok",""
"passed","Wed Oct 27 08:06:17 UTC 2021","Wed Oct 27 08:06:54 UTC 2021","36294","Damm","AutomationTests","PromotionsModule.Given_NotRegisteredUser.When_FinishedPromotion.Then_CookiesAcceptanceAppearsTest","PromotionsModule.Given_NotRegisteredUser.When_FinishedPromotion.Then_CookiesAcceptanceAppearsTest","on_Tablet","on_Tablet","Como nuevo visitante cuando accedo a una promoción finalizada entonces aparece la aceptación de cookies"
"passed","Wed Oct 27 08:06:17 UTC 2021","Wed Oct 27 08:06:54 UTC 2021","36392","Damm","AutomationTests","PromotionsModule.Given_NotRegisteredUser.When_FinishedPromotion.Then_AgeRestrictionAppearsTest","PromotionsModule.Given_NotRegisteredUser.When_FinishedPromotion.Then_AgeRestrictionAppearsTest","on_Smartphone","on_Smartphone","Como nuevo visitante cuando se muestra la restricción de edad y acepto entonces accedo a una promoción finalizada"
"passed","Wed Oct 27 08:06:17 UTC 2021","Wed Oct 27 08:06:57 UTC 2021","39503","Damm","AutomationTests","PromotionsModule.Given_NotRegisteredUser.When_FinishedPromotion.Then_AgeRestrictionAppearsTest","PromotionsModule.Given_NotRegisteredUser.When_FinishedPromotion.Then_AgeRestrictionAppearsTest","on_Desktop","on_Desktop","Como nuevo visitante cuando se muestra la restricción de edad y acepto entonces accedo a una promoción finalizada"
"passed","Wed Oct 27 08:06:57 UTC 2021","Wed Oct 27 08:07:29 UTC 2021","32322","Damm","AutomationTests","PromotionsModule.Given_NotRegisteredUser.When_NotStartedPromotion.Then_PromotionLegalBases","PromotionsModule.Given_NotRegisteredUser.When_NotStartedPromotion.Then_PromotionLegalBases","on_Desktop","on_Desktop","Como visitante no registrado cuando accedo a una promocion finalizada entonces aparece un el texto 'Promocion finalizada'"
"passed","Wed Oct 27 08:06:54 UTC 2021","Wed Oct 27 08:07:22 UTC 2021","28502","Damm","AutomationTests","PromotionsModule.Given_NotRegisteredUser.When_NotStartedPromotion.Then_DateEffectiveAppearsTest","PromotionsModule.Given_NotRegisteredUser.When_NotStartedPromotion.Then_DateEffectiveAppearsTest","on_Desktop","on_Desktop","Como visitante no registrado cuando accedo a una promoción no iniciada entonces aparece la vigencia de la promoción"
"passed","Wed Oct 27 08:09:51 UTC 2021","Wed Oct 27 08:09:51 UTC 2021","2","Damm","AutomationTests","Core.Application.WebElementApplicationServiceTests","Core.Application.WebElementApplicationServiceTests","disposeWebDriverByWebElement_Ok","disposeWebDriverByWebElement_Ok",""
"passed","Wed Oct 27 08:06:54 UTC 2021","Wed Oct 27 08:07:24 UTC 2021","30394","Damm","AutomationTests","PromotionsModule.Given_NotRegisteredUser.When_FinishedPromotion.Then_AgeRestrictionAppearsTest","PromotionsModule.Given_NotRegisteredUser.When_FinishedPromotion.Then_AgeRestrictionAppearsTest","on_Tablet","on_Tablet","Como nuevo visitante cuando se muestra la restricción de edad y acepto entonces accedo a una promoción finalizada"
"passed","Wed Oct 27 08:09:04 UTC 2021","Wed Oct 27 08:09:37 UTC 2021","32867","Damm","AutomationTests","PromotionsModule.Given_NotRegisteredUser.When_NotStartedPromotion.Then_PromotionInstructionsTest","PromotionsModule.Given_NotRegisteredUser.When_NotStartedPromotion.Then_PromotionInstructionsTest","on_Tablet","on_Tablet","Como visitante no registrado cuando accedo a una promocion no iniciada entonces aparece las instrucciones de la promocion"
"passed","Wed Oct 27 08:09:41 UTC 2021","Wed Oct 27 08:09:51 UTC 2021","9907","Damm","AutomationTests","Core.Application.WebDriverApplicationServiceTests","Core.Application.WebDriverApplicationServiceTests","disposeWebDriver_Ok","disposeWebDriver_Ok",""
"passed","Wed Oct 27 08:06:17 UTC 2021","Wed Oct 27 08:06:54 UTC 2021","36297","Damm","AutomationTests","PromotionsModule.Given_NotRegisteredUser.When_FinishedPromotion.Then_CookiesAcceptanceAppearsTest","PromotionsModule.Given_NotRegisteredUser.When_FinishedPromotion.Then_CookiesAcceptanceAppearsTest","on_Desktop","on_Desktop","Como nuevo visitante cuando accedo a una promoción finalizada entonces aparece la aceptación de cookies"
"passed","Wed Oct 27 08:09:51 UTC 2021","Wed Oct 27 08:09:51 UTC 2021","56","Damm","AutomationTests","Core.Application.WebDriverConfigurationApplicationServiceTests","Core.Application.WebDriverConfigurationApplicationServiceTests","getSmartphoneWebDriverConfiguration_Ok","getSmartphoneWebDriverConfiguration_Ok",""
"passed","Wed Oct 27 08:09:51 UTC 2021","Wed Oct 27 08:09:51 UTC 2021","3","Damm","AutomationTests","Core.Application.WebElementApplicationServiceTests","Core.Application.WebElementApplicationServiceTests","click_Ok","click_Ok",""
"passed","Wed Oct 27 08:09:51 UTC 2021","Wed Oct 27 08:09:51 UTC 2021","2","Damm","AutomationTests","Core.Application.WebElementApplicationServiceTests","Core.Application.WebElementApplicationServiceTests","getWebDriverByWebElement_Ok","getWebDriverByWebElement_Ok",""
"passed","Wed Oct 27 08:09:51 UTC 2021","Wed Oct 27 08:09:51 UTC 2021","2","Damm","AutomationTests","Core.Application.WebDriverApplicationServiceTests","Core.Application.WebDriverApplicationServiceTests","getWebDriver_Ok","getWebDriver_Ok",""
